Work Item Type,Title,Description,Acceptance Criteria,Assigned To
Feature,Admin-Managed Document Library for Hoops App,"Enable administrative users to upload, manage, and categorize PDF documents displayed in the Hoops app. Documents stored in Blob Storage; metadata stored in Table Storage including Section field.","", 
User Story,Define Table Storage Schema for Document Metadata,"Create a structured Azure Table Storage schema to store metadata for documents displayed in the Hoops app.","- Table named 'MenuDocuments' exists; - Columns include PartitionKey, RowKey, Title, BlobPath, BlobUrl, SortOrder, Description, IsActive, Season, LastUpdatedUtc, Section; - Schema documented for frontend and backend teams", 
Task,Create Azure Table Storage table 'MenuDocuments',"Provision the table inside the existing Azure Storage Account.","", 
Task,Document schema definition and naming conventions,"Document PartitionKey, RowKey, and all metadata fields including the new Section field.","", 
Task,Create sample metadata rows for testing,"Insert sample rows into the table for UI and API validation.","", 
User Story,Implement Azure Function for PDF Upload and Metadata Write,"Create an Azure Function that allows admins to upload PDFs and automatically writes metadata to Table Storage.","- Admin can upload PDF; - File stored in Blob Storage; - Metadata row created including Section; - API returns success/failure; - Validation errors returned cleanly", 
Task,Create Azure Function endpoint for PDF upload,"Implement POST /admin/documents/upload endpoint.","", 
Task,Implement Blob Storage upload logic,"Upload PDF to Blob Storage and generate BlobPath and BlobUrl.","", 
Task,Write metadata row to Table Storage,"Insert metadata including Section, Title, Category, SortOrder, and BlobPath.","", 
User Story,Build Angular Admin UI for Document Upload and Management,"Create an admin UI page that allows uploading PDFs and entering metadata.","- Admin UI exists under /admin/documents; - Form includes Title, Category, Section, Season, SortOrder, File; - Calls upload API; - Shows success/error messages", 
Task,Create Angular route and upload form,"Add /admin/documents route and build upload form UI.","", 
Task,Add dropdowns for Category and Section,"Populate dropdowns from static config or API.","", 
Task,Integrate form with upload API,"Call Azure Function and handle responses.","", 
User Story,Update Public App to Load Documents Dynamically,"Modify the public-facing Hoops app to load documents dynamically from Table Storage metadata.","- API returns documents filtered by category and section; - Angular loads metadata dynamically; - Documents open via BlobUrl; - Inactive documents hidden", 
Task,Create public API to query documents,"Implement GET /documents?category=&section= using Table Storage queries.","", 
Task,Update Angular menu to load metadata dynamically,"Replace static menu items with API-driven document lists.","", 
